vocabulary_id,OID,FHIR URI,vocabulary_name,vocabulary_reference,vocabulary_version,vocabulary_concept_id,Recommendation
ABMS,,,Provider Specialty (American Board of Medical Specialties),http://www.abms.org/member-boards/specialty-subspecialty-certificates,2018-06-26 ABMS,45756746,
ATC,2.16.840.1.113883.6.73,http://www.whocc.no/atc,WHO Anatomic Therapeutic Chemical Classification,http://www.whocc.no/atc_ddd_index/,RxNorm 20200504,44819117,
CDM,,,OMOP Common DataModel,https://github.com/OHDSI/CommonDataModel,CDM v6.0.2,32485,
CMS Place of Service,,,Place of Service Codes for Professional Claims (CMS),http://www.cms.gov/Medicare/Medicare-Fee-for-Service-Payment/PhysicianFeeSched/downloads//Website_POS_database.pdf,11/1/2009,44819110,
Cohort Type,,,OMOP Cohort Type,OMOP generated,NULL,44819234,
Concept Class,,,OMOP Concept Class,OMOP generated,NULL,44819233,
Condition Status,,,OMOP Condition Status,OMOP generated,NULL,32887,
Condition Type,,,OMOP Condition Occurrence Type,OMOP generated,NULL,44819127,
Cost,,http://ohdsi.org/omop/Cost,OMOP Cost,OMOP generated,NULL,581457,
Cost Type,,http://ohdsi.org/omop/CostType,OMOP Cost Type,OMOP generated,NULL,5029,
CPT4,2.16.840.1.113883.6.12,http://www.ama-assn.org/go/cpt,Current Procedural Terminology version 4 (AMA),http://www.nlm.nih.gov/research/umls/licensedcontent/umlsknowledgesources.html,2020 Release,44819100,
Currency,2.16.840.1.113883.5.1058,urn:iso:std:iso:4217,International Currency Symbol (ISO 4217),http://www.iso.org/iso/home/standards/currency_codes.htm,2008,44819153,
Death Type,,,OMOP Death Type,OMOP generated,NULL,44819135,
Device Type,,,OMOP Device Type,OMOP generated,NULL,44819151,
Domain,,,OMOP Domain,OMOP generated,NULL,44819147,
Drug Type,,,OMOP Drug Exposure Type,OMOP generated,NULL,44819126,
Episode,,,OMOP Episode,OMOP generated,Episode 20201014,32523,
Ethnicity,,,OMOP Ethnicity,OMOP generated,NULL,44819134,
Gender,,,OMOP Gender,OMOP generated,NULL,44819108,
HCPCS,2.16.840.1.113883.6.285,http://www.cms.gov/Medicare/Coding/HCPCSReleaseCodeSets,Healthcare Common Procedure Coding System (CMS),http://www.nlm.nih.gov/research/umls/licensedcontent/umlsknowledgesources.html,2020 Alpha Numeric HCPCS File,44819101,
ICD10CM,2.16.840.1.113883.6.90,http://hl7.org/fhir/sid/icd-10-cm,"International Classification of Diseases, Tenth Revision, Clinical Modification (NCHS)",http://www.cdc.gov/nchs/icd/icd10cm.htm,ICD10CM FY2021 code descriptions,44819098,
ICD9CM,"	2.16.840.1.113883.6.42",http://hl7.org/fhir/sid/icd-9-cm,"International Classification of Diseases, Ninth Revision, Clinical Modification, Volume 1 and 2 (NCHS)",http://www.cms.gov/Medicare/Coding/ICD9ProviderDiagnosticCodes/codes.html,ICD9CM v32 master descriptions,5046,
ICD9Proc,,,"International Classification of Diseases, Ninth Revision, Clinical Modification, Volume 3 (NCHS)",http://www.cms.gov/Medicare/Coding/ICD9ProviderDiagnosticCodes/codes.html,ICD9CM v32 master descriptions,44819099,
Korean Revenue Code,,,Korean Revenue Code,OMOP generated,NULL,32724,
LOINC,2.16.840.1.113883.6.1,http://loinc.org,Logical Observation Identifiers Names and Codes (Regenstrief Institute),http://loinc.org/downloads/loinc,2.69,44819102,
Meas Type,,,OMOP Measurement Type,OMOP generated,NULL,44819152,
Medicare Specialty,2.16.840.1.113883.11.19465,http://nucc.org/provider-taxonomy,Medicare provider/supplier specialty codes (CMS),http://www.cms.gov/Medicare/Provider-Enrollment-and-Certification/MedicareProviderSupEnroll/Taxonomy.html,2018-06-26 Specialty,44819138,
Metadata,,,Metadata,OMOP generated,NULL,32675,
NDC,2.16.840.1.113883.6.69,http://hl7.org/fhir/sid/ndc,National Drug Code (FDA and manufacturers),"http://www.nlm.nih.gov/research/umls/rxnorm/docs/rxnormfiles.html, http://www.fda.gov/downloads/Drugs/DevelopmentApprovalProcess/UCM070838.zip",NDC 20210815,44819105,
None,,,OMOP Standardized Vocabularies,OMOP generated,v5.0 18-AUG-21,44819096,
Note Type,,,OMOP Note Type,OMOP generated,NULL,44819146,
